Cód.Ponto,Sist.Hidrico,Localização,Data Início,Data Fim,Município
TIPR02400,Reservatório de Promissão,"Ponte na rodovia SP-333, no trecho que liga Pongaí a Borborema.",1978-01-01,2000-12-31,PONGAI
TIPR02650,Reservatório de Promissão,"No corpo central, na altura do braço do Rib. Esgotão, em Sabino",2007-01-01,,SABINO
TIPR02700,Reservatório de Promissão,"No corpo central, na altura do braço do Rio Dourado",2007-01-01,,ADOLFO
TIPR02990,Reservatório de Promissão,"A montante da barragem de Promissão, próximo do vertedouro",2007-01-01,,PROMISSAO
TIRG02900,Reservatório de Rasgão,Próximo das comportas do Reservatório de Rasgão.,1998-01-01,,PIRAPORA DO BOM JESUS
TITR02100,Reservatório de Três Irmãos,"Ponte na rodovia SP-463, no trecho que liga Araçatuba a Jales, a 1 km da captação de Araçatuba.",1990-11-06,,ARAÇATUBA
TITR02800,Reservatório de Três Irmãos,"Ponte na rodovia SP-563, no trecho que liga Pereira Barreto a Andradina.",1974-10-01,,PEREIRA BARRETO
TJCO03750,Ribeirão Tijuco Preto (Afl. Piracicaba),Ponte dentro do Horto Florestal de Tupi.,2020-01-01,,PIRACICABA
TKIN02950,Córrego Tanquinho,"Ponte na foz do Córrego Tanquinho com o Ribeirão Preto, na Via Expressa Norte altura do nº 2320.",2017-01-01,,RIBEIRAO PRETO
TOCA02900,Córrego das Tocas,"Ponte sobre o córrego da Toca na Rua Coronel Jose Vicente de Faria Lima, no Bairro Costa Bela, Praia de Barra Velha, em Ilhabela.",2003-01-01,,ILHABELA
TOLE03750,Ribeirão dos Toledos,"Ponte próxima da Rua Rafarde,Bairro São Joaquim.",2015-01-01,,SANTA BARBARA D OESTE
TOLE03900,Ribeirão dos Toledos,"Ponte de madeira, na foz com o Rio Piracicaba.",2002-01-01,2015-12-31,SANTA BARBARA D OESTE
TRAI04800,Córrego da Traição,"Na caixa de inspeção do Córrego da Traição, na Av. dos Bandeirantes com Praça Dr. Francisco Patti.",2020-01-01,,SÃO PAULO
TREB02950,Ribeirão Três Barras,Na foz do Rib. Tres Barras com o Rio Pirapitingui.,2003-01-01,,COSMOPOLIS
TUBA02900,Rio Guaratuba,"Ponte na Rio Santos, no fim da praia do Guaratuba",2001-01-01,,BERTIOGA
TUPU00900,Córrego do ITUPU,"Ponte na Estrada do Riviera, próximo da Av. Nova Arcadia, junto a foz na represa Guarapiranga.",2019-01-01,,SÃO PAULO
TURR02800,RIO Turvo- UGHRI 14,"Ponte na Rod. SP-127, na altura do km 192, na divisa de São Miguel Arcanjo e Itapetininga, próximo da Régua do DAEE 5E-009.",2016-01-01,,ITAPETININGA
TURV02300,Rio Turvo - UGHRI 15,"Ponte na vicinal entre Paraíso e Monte Azul Paulista, junto a Régua do DAEE 5B-010.",2013-01-01,,PARAISO
TURV02500,Rio Turvo - UGHRI 15,Ponte na rodovia que liga São José do Rio Preto a Olímpia.,1979-01-01,,GUAPIACU
TURV02800,Rio Turvo - UGHRI 15,"Ponte na estrada Municipal que liga Nova Granada a Samambaia, junto ao Posto DAEE 6B-009.",1974-10-01,,NOVA GRANADA
UAMA00550,Rio Piracuama,Ponte sobre o rio Piracuama ao lado da Estação Centenário da Estrada de Ferro.,2015-11-23,2018-12-31,PINDAMONHANGABA
UAMA00600,Rio Piracuama,No Balneário de Piracuama - Reino das Águas Claras,2019-01-01,,PINDAMONHANGABA
UARE04550,Córrego do Jaguaré,"Ponte na Av. Politecnica com a Rua Jorge Waard, no Rio Pequeno.",2012-01-01,,SÃO PAULO
UNNA02800,Rio Una - UGRHI 02,Na captação da SABESP de Taubaté.,2005-01-01,,TAUBATE
UNVA03900,Ribeirão Una ou Varginha (UGHRI 6),"Na sua foz, na Av. Jorge Bei Maluf.",,,SUZANO
VEAD02950,Ribeirão do Veado,Ponte na Vicinal Pres. Epitácio/ Campinal,2018-01-01,,PRESIDENTE VENCESLAU
VEME04150,Ribeirão Vermelho ou Mutinga,"PORTARIA 1, PRÓXIMO AO ESTACIONAMENTO DE ONIBUS",2008-11-01,,SÃO PAULO
VEME04175,Ribeirão Vermelho ou Mutinga,NO MEIO DO LAGO 2 DO PARQUE DO PICO DO JARAGUÁ,2008-11-01,,SÃO PAULO
VEME04200,Ribeirão Vermelho ou Mutinga,"Na estrada da portaria 2 do Parque do Jaraguá, a montante da Aldeia Indígena Guarani.",2008-11-01,,SÃO PAULO
VEME04250,Ribeirão Vermelho ou Mutinga,"NA ALDEIA INDÍGENA JARAGUÁ, A JUSANTE DO LAGO DO PARQUE DO JARAGUÁ",2010-04-26,,SÃO PAULO
VERD02750,Rio Verde,"Ponte na SP-255, na entrada da cidade de Itaporanga.",2013-01-01,,ITAPORANGA
VIDK04900,Córrego do Vidoca,"Na ponte da Travessa Lineu de Moura, próxima da foz com o Rio Paraíba do Sul.",2018-01-01,,SÃO JOSÉ DOS CAMPOS
VVEM04700,Ribeirão Vai-e-Vem,"A aproximadamente 3,5 km a montante da confluência com o Rio Santo Anastácio.",2015-01-01,,SANTO ANASTACIO
XOTE02500,Córrego do Baixote,"Na estrada municipal que liga Birigüi a Coroados, na captação de Birigüi.",2001-01-01,,BIRIGUI
XPIM00700,Córrego do Crispim,"Ponte na SP 124, ao lado da EEE Jacira. (Ponto G17- Programa Mananciais).",2020-01-01,,ITAPECERICA DA SERRA
YTAI00900,Córrego ITAIM,"Ponte na Av. Sadamu Inoue, altura do num. 900. Cerca de 500m antes da sua foz no Rio Caulim. (Ponto G07- Programa Mananciais).",2020-01-01,,SÃO PAULO
ZVUS04950,Córrego Zavuvus,Ponte em frente a entrada da Estação CPTM Jurubatuba,2012-01-01,,SÃO PAULO
