Cód.Ponto,Sist.Hidrico,Localização,Data Início,Data Fim,Município
CMDC02900,Rio Camanducaia,Ponte na rodovia SP-340 no trecho que liga Campinas à Mogi-Mirim.,1995-01-01,,JAGUARIUNA
COCA02900,Rio Cocanha,"Ponte no final da Av. Maria Carlota, na praia de Massaguaçu, junto a foz do Cór. Bacuí.",2004-01-01,,CARAGUATATUBA
COCH02850,Rio das Conchas,"PONTE NA ESTRADA VICINAL DEPOIS DO BAIRRO ESTANCIA CRISTAL,EM CONCHAS",2010-01-01,,CONCHAS
COGR00900,Reservatório das Graças,"Na barragem, junto à captação do Alto Cotia",1977-11-01,,COTIA
CORD04900,Córrego Parque do Cordeiro,"Dreno de acesso da SABESP ao Córrego do Cordeiro , canalizado, em frente à Telhanorte, em sua foz junto ao dreno do Brooklyn.",,,SÃO PAULO
CORD04950,Córrego Parque do Cordeiro,"No Dreno de acesso da SABESP ao Córrego do Cordeiro, junto à ciclovia da Av. Chuchi ZAIDAN, em sua foz junto ao dreno do Brooklyn.",2019-07-01,,SÃO PAULO
CORU04950,Ribeirão dos Couros,"Ponte na Rua Tocantínia/Rudge Ramos, na divisa de S. B. Campo/São Paulo",2012-01-01,,SÃO BERNARDO DO CAMPO
COTI03800,Rio Cotia,"Ponte na Rodovia Raposo Tavares, Km 28.5 no município de Cotia.",1978-11-01,,COTIA
COTI03900,Rio Cotia,No canal de captação de águas para a ETA do Baixo Cotia.,1982-01-01,,CARAPICUIBA
CPIV02030,Rio Capivari,"Ponte na Estrada SP 360 Jundiaí/Itatiba, no bairro do Mato - dentro.",2000-01-01,,JUNDIAÍ
CPIV02060,Rio Capivari,"Ponte próxima à Granja Dina, em Louveira.",2000-01-01,,LOUVEIRA
CPIV02100,Rio Capivari,"No condomínio São Joaquim, em Vinhedo.",2000-01-01,,VINHEDO
CPIV02130,Rio Capivari,Na captação de Campinas-ETA Capivari na Rodovia dos Bandeirantes.,1995-03-01,,CAMPINAS
CPIV02160,Rio Capivari,Na estrada de terra que liga Campinas a Monte Mor.,2000-01-01,,CAMPINAS
CPIV02200,Rio Capivari,Ponte na estrada que liga Monte Mor a Fazenda Rio Acima.,1974-10-01,,MONTE MOR
CPIV02230,Rio Capivari,"Ponte na Rodovia SP-101, entre Tiête e Capivari a montante da ETERBRÁS (antiga Brasilit).",,2002-12-31,CAPIVARI
CPIV02700,Rio Capivari,Ponte na Represa da Usina São Paulo.,2003-01-01,,RAFARD
CPIV02900,Rio Capivari,"Ponte no canavial, próximo à foz do Rio Tietê.",1997-02-01,,TIETE
CRIS03400,Ribeirão dos Cristais,Na captação da ETA de Cajamar.,1998-10-28,,CAJAMAR
CRUM02050,Rio Corumbataí,"Na régua do DAEE 4D-023R, em Analândia.",2002-01-01,,ANALANDIA
CRUM02080,Rio Corumbataí,"NA CAPTAÇÃO DA ETA II DE RIO CLARO, A MONTANTE DO BARRAMENTO",2010-01-01,,RIO CLARO
CRUM02100,Rio Corumbataí,"Ponte na Rodovia São Pedro/Araras, próximo ao Distrito industrial de Rio Claro.",2002-01-01,,RIO CLARO
CRUM02200,Rio Corumbataí,Ponte na Estr. Assistência/Paraisolândia.,2001-01-01,,RIO CLARO
CRUM02300,Rio Corumbataí,"No Bairro Recreio, Usina Tamandupá, em Charqueada, junto a DAEE 4D-021.",2000-01-01,,CHARQUEADA
CRUM02500,Rio Corumbataí,Na captação da SEMAE de Piracicaba.,1974-10-01,,PIRACICABA
CRUM02850,Rio Corumbataí,A 1 km da foz com o Rio Piracicaba. Ponte na R. Virgílio da Silva Fagundes.,2017-01-01,,PIRACICABA
CRUM02900,Rio Corumbataí,Na foz com o Rio Piracicaba.,2002-01-01,2016-12-31,PIRACICABA
CTRE04800,Ribeirão Campestre,A 3 km montante da foz no Rio Dourado.,2007-01-01,,PROMISSAO
CUBA02700,Rio Cubatão,"Na ponte Preta, em frente à antiga Estação de Tratamento de Água do Rio Cubatão.",1977-01-01,,CUBATAO
CUBA03900,Rio Cubatão,"Ponte da estrada de ferro Santos-Jundiaí, cerca de 1,5 Km a jusante da confluência com o Perequê.",1977-01-01,,CUBATAO
CURO02900,Rio Escuro,"Rodovia Rio - Santos, ponte sobre o rio na Praia Dura.",2004-01-01,,UBATUBA
CURU02800,Rio Curucutu,Ponte na estrada da Água Limpa. (B15 -Programa Mananciais).,2020-01-01,,SÃO BERNARDO DO CAMPO
CXBU02900,Ribeirao do Caxambu,NA CAPTAÇÃO DE ITUPEVA,2010-01-01,,ITUPEVA
CXEI02550,Rio da Cachoeirinha,Ponte na Estrada Antiga Estrada Boaideira.,2015-01-01,,OLIMPIA
CXEI02900,Rio da Cachoeirinha,PONTE NA ESTRADA DE TERRA QUE LIGA OS DISTRITOS DE BAGUAÇU A RIBEIRO DOS SANTOS.,2011-01-01,,OLIMPIA
DADO02600,Rio Dourado,Ponte na SP-333 entre Guarantã e Pongaí,2007-04-01,,GUARANTA
DADO02800,Rio Dourado,"Ponte na SP 381, entre Lins e Sabino.",2007-04-01,,GUAICARA
DADO02900,Rio Dourado,A jusante da entrada do Rib.Campestre,2007-01-01,,PROMISSAO
DADO02990,Rio Dourado,Na foz do Braço do rio Dourado com o Reservatório de Promissâo,2007-04-01,,ADOLFO
DAIA02900,Rio Indaiá,Na ponte sobre a Rodovia Rio Santos BR 101,2005-01-01,,UBATUBA
DEMB02800,Córr. Mandembo,Ponte do Córrego Mandembo na Rodovia Brigadeiro Faria Lima - SP-326 no km 390,2020-01-01,,BEBEDOURO
DREZ02600,Córrego do Xadrez,A montante da cidade de Engenheiro Coelho. Na ponte Pesqueiro,2002-01-01,2010-06-03,ENGENHEIRO COELHO
DUBA02900,Rio Maranduba,"Rodovia Rio-Santos (SP55), ponte sobre o rio",2004-01-01,,UBATUBA
DUVA04900,Rio Aricanduva,"Ponte Ely Lopes Meireles, no município de São Paulo.",2001-01-01,,SÃO PAULO
EDRA00900,Ribeirão das Pedras/Afl. Guarapiranga,Ponte na R. Frederico René De Jaegher (G02-Programa Mananciais).,2020-01-01,,SÃO PAULO
EIXE02225,Rio do Peixe-UGRHI 10,"Ponte na SP-300 (Marechal Rondon), na divisa de Bofete com Conchas",2010-01-01,,CONCHAS
EMGU00700,Rio Embu-Guaçu,A jusante da confluência do Rio Cipó.,2006-03-01,2008-12-31,EMBU-GUAÇU
EMGU00800,Rio Embu-Guaçu,Ponte na estrada que liga Embu-Guaçu à Fazenda da Ilha.,1977-11-01,,EMBU-GUAÇU
EMMI02900,Rio Embu-Mirim,Ponte na estrada do M`Boi Mirim (SP-214).,1994-01-01,,SÃO PAULO
ENGO00900,Reservatório do Engordador,Junto à barragem.,1977-01-01,1978-12-12,SÃO PAULO
ENHA02900,Ribeirão da Penha,"Ponte na estrada IPI-080, à jusante da ETE de Itapira.",2014-01-01,,ITAPIRA
ENTO02700,Ribeirão São Bento,"Ponte na Estrada Mun. Morro Alto, no bairro São Bento.",,,SALTINHO
ERAZ02700,Ribeirão Ferraz,"Ponte sobre na SP 191, km 23,5",2002-01-01,,CONCHAL
ERAZ02990,Ribeirão Ferraz,Foz do Ribeirão Ferraz próximo ao Pesqueiro na cidade de Conchal.,2002-01-01,,CONCHAL
ESGT02050,Córrego do Esgotão,"Ponte na SP 381, na entrada de Sabino",2007-04-01,,SABINO
ESGT02700,Córrego do Esgotão,Córrego onde cai o efluente tratado da ETE de Sabino,2007-01-01,,SABINO
ESGT02990,Córrego do Esgotão,Na foz do braço do Rib Escotão com o Rio Tiete,2007-04-01,,SABINO
ESSE04800,Córrego do Morro do S,"Na Av. Caldeira Filho, próximo ao posto SAISP 347 (Morro do S-CL). Junto à travessia da Rua Joaquim Nunes Teixeira.",2019-04-03,,SÃO PAULO
FRUT02800,Córrego do Frutal,"Ponte na Rodovia Marechal Rondon (SP-300) antes do trevo de Guararapes, próximo da placa da saída 553 A.",2015-01-01,,GUARARAPES
GADE02800,Rio Grande ou Jurubatuba,"Na travessia de pedrestres no Bairro Cortes, em Rio Grande da Serra.(B28-Programa Mananciais).",2020-01-01,,RIO GRANDE DA SERRA
GADE02900,Rio Grande ou Jurubatuba,"Ponte na Av. Santo André (SP-122), na entrada do município de Rio Grande da Serra.",1979-01-01,,RIO GRANDE DA SERRA
GAPE02900,Lagoa do Guapé,No Parque Municipal de São Miguel Arcanjo,2005-10-01,,SAO MIGUEL ARCANJO
GERT02100,Córrego Santa Gertrudes,"Na Fazenda Boa Vista, em Santa Gertrudes.",2003-01-01,2005-12-01,SANTA GERTRUDES
GERT02200,Córrego Santa Gertrudes,"Na estrada da Fazenda Goiapá, em Santa Gertrudes.",2003-01-01,2016-02-02,SANTA GERTRUDES
GERT02500,Córrego Santa Gertrudes,Na captação de Santa Gertrudes,2007-01-01,,SANTA GERTRUDES
GOIN02900,Rio Lagoinha,Ponte na Rodovia Manuel Hyppolito Rego (SP-55).,2004-01-01,,UBATUBA
GRAM02950,Represa de Graminha,"Represa de Graminha, no pier próximo da tomada d'água para as turbinas.",2019-01-01,,CACONDE
GRAN00400,Rio Grande - UGRHI 03,"Na captação de agua bruta da SABESP, no bairro do Horto Florestal, em Ubatuba.",2000-01-01,,UBATUBA
GRAN02800,Rio Grande - UGRHI 03,Entrada do Aterro Sanitário de Ubatuba.,2003-01-01,,UBATUBA
GRAN02900,Rio Grande - UGRHI 03,"Praia Iperoig, sobre passarela de pedestres no mercado de peixes, jusante posto de gasolina",2004-01-01,,UBATUBA
GRDE02300,"Rio Grande - UGRHI 08, 12 e 15","Ponte na rod. SP-413, no trecho que liga Miguelópolis/Guaira a Uberaba, jusante Usina Volta Grande.",2001-01-01,,MIGUELOPOLIS
GRDE02400,"Rio Grande - UGRHI 08, 12 e 15","Ponte na divisa de SP-MG, na BR 364 que liga Colômbia a Frutal.",2016-01-01,,COLOMBIA
GRDE02500,"Rio Grande - UGRHI 08, 12 e 15","Ponte na rodovia BR-153, a jusante da Usina Hidréletrica Marimbondo na divisa com o Estado de Minas Gerais",1974-10-01,2000-12-31,ICEM
GRDE02800,"Rio Grande - UGRHI 08, 12 e 15","Na ponte da SP 463, na divisa de estado SP/MG, a jusante do Res. de Agua Vermelha.",2013-01-01,,OUROESTE
GREI02700,Rio Guareí,"Ponte na Rod. SP 268, sentido Angatuba/Bairro do Aterradinho",2006-07-31,,ANGATUBA
GREI02750,Rio Guareí,"Ponte no Bairro dos Diogos, em Angatuba, a jusante do Rib. dos Libanios.",2015-01-01,,ANGATUBA
GROT02900,Ribeirão Grota Funda,"Dentro do Parque Ecológico do Eldorado, cerca de 160m a jusante do cruzamento da Ponte na Rua Olária, com a Rua Perobás. (B03-Programa Mananciais).",2020-01-01,,DIADEMA
GUAI02400,Córrego da Guaiaquica,"Na estrada para Engenheiro Coelho, I km antes da cidade.",2005-01-01,2010-06-03,ENGENHEIRO COELHO
GUAO02600,Rio Guaió,Ponte na Rua Manoel Sebastião na divisa de Suzano /Ferraz de Vasconcelos.,2016-01-01,,FERRAZ DE VASCONCELOS
GUAO02900,Rio Guaió,"Ponte na Rod. 066 (Rod. Henrique Eroles), na sua foz em Suzano.",2015-01-01,,SUZANO
GUAR00100,Reservatório do Guarapiranga,"No meio do Braço do Rio Parelheiros, no bairro do Balneário São José",1999-01-01,,SÃO PAULO
GUAR00900,Reservatório do Guarapiranga,Na Captação da SABESP junto à casa de Bombas.,1974-10-01,,SÃO PAULO
GUAT02800,Rio Guaratingueta,"NA CAPTAÇÃO DE GUARATINGUETA (SAEG), EM FRENTE A ETA.",2010-01-01,,GUARATINGUETA
GUAU02950,Rio Guaraú,"PONTE NA BR 116, NA FOZ DO RIO GUARAÚ",2011-01-01,,JACUPIRANGA
GUAX02950,Rio Guaxinduba,"Praia Martim de Sá, Av. Casa Branca a jusante do lançamento da SABESP, Ponte sobre o Rio.",2004-01-01,,CARAGUATATUBA
GVIT00900,Córrego Guavirutuba,"Ao lado da ETA da SABESP , na Rua Talamanca. (Ponto G10- Programa Mananciais).",2020-01-01,,SÃO PAULO
HORT02800,Córrego do Horto Florestal,"Ponte do Córrego do Horto Florestal, a montante da represa do Barro Preto",2008-01-01,,CORDEIROPOLIS
IACR03750,Rio Iacri,A jusante da entrada do Rio Afonso XIII. Ponte na estrada de terra para a aldeia dos índios.,2014-01-01,,TUPA
IADE04500,Córrego da Piedade,No tubulão sob a ponte da SP - 310.,2008-11-01,,SÃO JOSÉ DO RIO PRETO
IAIM02400,Córrego Itaim,Na divisa de Ferraz de Vasconcelos / Poá. À montante do piscinão.,,,FERRAZ DE VASCONCELOS
IAIM02900,Córrego Itaim,"Na sua foz, no trevo de Interligação da SP-066 / SP - 056 / SP - 070.",,,POA
INGA00850,Braço do Rio Paraitinga,PRÓXIMO A ÁREA DE LAZER DA CESP,2008-08-01,,PARAIBUNA
IPAN02500,Córrego Ipanema,"Ponte do Km 12,5 da estrada que liga Sorocaba a Iperó.",1998-11-30,2004-12-31,SOROCABA
IPAU02600,Rio Itapanhaú,Na captação da SABESP de Bertioga - Estação de Tratamento de Água Itapanhaú e captação da Riviera de São Lourenço.,2016-06-01,,BERTIOGA
IPAU02800,Rio Itapanhaú,No pier da balsa para Usina Itatinga.,2001-01-01,2003-12-31,BERTIOGA
IPAU02900,Rio Itapanhaú,"Margem esquerda, no ancoradouro da Marina do Forte.",2001-01-01,,BERTIOGA
IPIG03950,Ribeirão Ipiranga,"Na foz do Rio Ipiranga, na ponte da Rua Casajeros, ao lado da SEMAE.",2014-12-01,,MOGI DAS CRUZES
IPIR04900,Córrego do Ipiranga,"Ponte na Praça do Monumento, em frente a estátua de Dom Pedro.",2012-01-01,,SÃO PAULO
IPPE02900,Córrego do Ipê,Ponte sobre o Córrego Ipê na estrada do Pica-Pau.,2002-01-01,2010-06-03,MOGI-GUAÇU
IRIS02100,Rio Piraí,"Na captação de Cabreúva, no Bairro do Jacaré.",2000-01-01,,CABREÚVA
IRIS02200,Rio Piraí,Ponte na Rodovia Marechal Rondon em frente à indústria Crown Cork.,2000-01-01,,CABREÚVA
IRIS02250,Rio Piraí,Na Ponte de concreto na saída para o Bairro do Pinhal.,2000-01-01,,CABREÚVA
IRIS02400,Rio Piraí,"Estrada sentido Faz. Santana, após aproximadamente 500m do trevo.",2000-01-01,,CABREÚVA
IRIS02600,Rio Piraí,"Rodovia Marechal Rondon, altura do km 91, nos fundos da Olaria Tijolar.",2000-01-01,,CABREÚVA
IRIS02900,Rio Piraí,Na barragem de captação dos municípios de Salto e Indaiatuba.,1997-01-01,,INDAIATUBA
ISOL02995,Reservatório de Ilha Solteira,Na barragem do reservatório de Ilha Solteira (SP 310).,2013-01-01,,ILHA SOLTEIRA
ITAE02900,Rio Itaguaré,Na ponte da Rodovia Rio / Santos.,2001-01-01,,BERTIOGA
ITAM02950,Rio Itamambuca,Próximo ao Condomínio Itamambuca,2004-01-01,,UBATUBA
ITAP02800,Rio Itapetininga,"Ponte na estrada ACT-290, no Bairro da Polenghi em Angatuba.",2003-01-01,,ANGATUBA
ITAR02500,Rio Itararé,"Ponte na rod. que liga Itaporanga a Santana do Itararé( PR), na divisa de São Paulo com Paraná.",1980-07-01,,ITAPORANGA
IUNA00950,Braço do Rio Paraibuna,NA JUNÇÃO DOS BRAÇOS DO RIO PARAIBUNA E DOS RIOS DA SERRA,2008-10-01,,PARAIBUNA
JACU02900,Rio Jacu,"Ponte sobre o rio Jacu, na divisa de Cruzeiro e Lavrinhas, na Rodovia Júlio Fortes.",2015-01-01,,CRUZEIRO
JAGI00350,Rio Jaguari - UGRHI 02,"Na régua da CESP, à montante da Cachoeira do Jaguaribe.",2012-01-01,,SANTA ISABEL
JAGI02700,Rio Jaguari - UGRHI 02,"Ponte na estrada de acesso à indústria Petybon, no município de São José dos Campos.",1995-09-01,2000-12-31,SÃO JOSÉ DOS CAMPOS
JAGI02900,Rio Jaguari - UGRHI 02,"Próximo à foz no Rio Paraíba do Sul, no município de São José dos Campos.",1995-12-07,,SÃO JOSÉ DOS CAMPOS
JAGJ00200,Reservatório do Jaguari - UGRHI 02,"Ponte na rodovia SP 056 que liga Santa Isabel a Igaratá, no município de Santa Isabel.",1996-01-01,,SANTA ISABEL
JAGJ00400,Reservatório do Jaguari - UGRHI 02,"Ponte na rodovia D. Pedro I (SP-65), no município de Igaratá.",1992-01-01,2000-12-31,IGARATA
JAGJ00900,Reservatório do Jaguari - UGRHI 02,NA TOMADA DÁGUA DO RESERVATÓRIO JAGUARI.,2008-08-01,,SÃO JOSÉ DOS CAMPOS
JAGR00002,Rio Jaguari - UGRHI 05,"Ponte sobre o Rio Jaguari, no Km 2 a montante do reservatório da SABESP.",2004-01-01,,VARGEM
JAGR00005,Rio Jaguari - UGRHI 05,"Ponte na SP - 381 (Fernão Dias), a jusante do reservatório da SABESP.",2002-01-01,,BRAGANCA PAULISTA
JAGR02010,Rio Jaguari - UGRHI 05,"Na captação da SABESP de Bragança Paulista, no bairro Curitibanos.",2000-01-02,,BRAGANCA PAULISTA
JAGR02030,Rio Jaguari - UGRHI 05,"Na ponte de Guaripocaba, em Bragança Paulista",2007-01-01,,BRAGANCA PAULISTA
JAGR02050,Rio Jaguari - UGRHI 05,"Ponte do Bairro Menin, em Bragança Pta.",2007-01-01,,BRAGANCA PAULISTA
JAGR02100,Rio Jaguari - UGRHI 05,Ponte na rodovia SP - 95 no trecho que liga Bragança Paulista/Amparo (Km 9).,2001-01-01,,BRAGANCA PAULISTA
JAGR02130,Rio Jaguari - UGRHI 05,Ponte da estrada que liga Morungaba a Tuiuti,2013-01-01,,BRAGANCA PAULISTA
JAGR02200,Rio Jaguari - UGRHI 05,"Ponte Pênsil, na captação de Pedreira.",2000-01-01,,PEDREIRA
JAGR02300,Rio Jaguari - UGRHI 05,Na captação de Jaguariúna - DAE.,2000-01-01,,JAGUARIUNA
JAGR02400,Rio Jaguari - UGRHI 05,Na ponte da rodovia SP340.,2000-01-01,,JAGUARIUNA
JAGR02500,Rio Jaguari - UGRHI 05,"Na ponte da rodovia SP332, próximo às captações de Paulínia e Hortolândia. A montante do lançamento Antibióticos do Brasil e a jusante do lançamento da Globe Química.",2001-01-01,,PAULINIA
JAGR02800,Rio Jaguari - UGRHI 05,"Na captação de Limeira, junto à regua do DAEE 4D-013.",1974-10-01,,AMERICANA
JAHU02500,Rio Jaú,"Ponte na Av. Galdino do Amaral Carvalho,junto a régua do DAEE 5D-029.",2014-01-01,,JAU
JAIN02500,Rio Jacupiranguinha,Ponte na Avenida Luiz Lima a jusante da captação da Bungee,2011-01-01,,CAJATI
JAIN02800,Rio Jacupiranguinha,"3,5 Km à jusante da Bunge em Cajati",2008-01-01,2010-12-31,CAJATI
JAME04800,Córrego da Av. Jaime de Oliveira,Ponte na esquina da Marginal Pinheiros com a Av. Jaime de Oliveira.,2020-01-01,,SÃO PAULO
JAMI02001,Rio Jaguari-Mirim,"Na Ponte do Beloto, na estrada vicinal em Santo Antônio do Jardim, no km 217 da Rod. Engenheiro Borges (SP-346).",2016-01-01,,SANTO ANTONIO DO JARDIM
JAMI02100,Rio Jaguari-Mirim,"Ponte na estrada São João/Sto Ant do Jardim, altura da Fazenda Paraíso.",2005-01-01,2010-06-03,SANTO ANTONIO DO JARDIM
JAMI02300,Rio Jaguari-Mirim,"Na ponte da SP 344, depois do Bairro do Pedregulho, na altura do Km 238,5",2005-01-01,2010-06-03,SAO JOAO DA BOA VISTA
JAMI02500,Rio Jaguari-Mirim,"Ponte na Rodovia SP-340, no Km 212,9, junto a régua do DAEE 4C-013.",2005-03-01,,AGUAÍ
JAMI02900,Rio Jaguari-Mirim,Na foz do Rio Jaguari-Mirim.,2002-03-01,2005-03-01,SANTA CRUZ DAS PALMEIRAS
JAPI02100,Rio Jacupiranga,"Ponte na SP 193, que liga Jacupiranga a Eldorado.",2000-11-17,,JACUPIRANGA
JARD04800,Ribeirão do Jardim,"Ponte na área rural a jusante do lançamento das ETEs Matadouro, Fogão e Santa Quitéria.",2016-01-01,,GUAIRA
JARI00800,Reservatório Jaguari - UGRHI 05,"No corpo central do Res. Jaguari, em frente a ilha.",2008-01-01,,BRAGANCA PAULISTA
JCBA02950,Ribeirão Jacuba,"Ponte na Estrada Municipal Teodora Condiev, próximo da foz com o Rio Quilombo.",2018-02-01,,SUMARE
JCGU03200,Rio Jacaré-Guaçu,"PONTE NA ESTRADA DE TERRA DO BAIRRO MALVINAS, A JUSANTE DO CÓR. SANTA RUFINA.",2011-01-01,,RIBEIRAO BONITO
JCGU03400,Rio Jacaré-Guaçu,"Ponte na rodovia SP-255, no trecho que liga Boa Esperança do Sul a Araraquara, junto a régua DAEE 5C-013",2000-11-03,,ARARAQUARA
JCGU03900,Rio Jacaré-Guaçu,"Ponte na rodovia SP-304,no trecho que liga Ibitinga a Itajú.",1974-10-01,,IBITINGA
JCRE00100,Reservatório do Rio Jacareí-UGRHI 05,A cerca de 500m do túnel 7.,2014-07-17,,JOANOPOLIS
JCRE00200,Reservatório do Rio Jacareí-UGRHI 05,A cerca de 3km do Emboque do Túnel 7 das obras da Sabesp emergenciais do Sist. Cantareira.,2014-02-24,,PIRACAIA
JCRE00500,Reservatório do Rio Jacareí-UGRHI 05,No corpo central,2014-10-09,,VARGEM
JGUA03950,Ribeirão Jaguari - UGRHI 06,"Na ponte da Estrada Gov.Mario Covas, Bairro Mandi, em Itaquaquecetuba.",2012-01-01,,ITAQUAQUECETUBA
JIBU02750,Rio Pirajibú,Ponte na SP -075 na divisa de ITU/ Sorocaba.,2018-01-01,,ITU
JIBU02900,Rio Pirajibú,"Ponte próxima da Siderurgica Faço 3, no bairro Vitória Régia/Éden",2005-01-01,,SOROCABA
JNDI00100,Reservatório do Rio Jundiaí - UGRHI 06,"Ponte na rod. SP-69 no trecho que liga Mogi das Cruzes - Taiaçupeba, km 68, 500m da barragem",1977-01-01,1999-12-31,MOGI DAS CRUZES
JNDI00500,Reservatório do Rio Jundiaí - UGRHI 06,No canal de interligação do Res. do Rio Jundiaí com o reservatório Taiaçupeba.,2000-01-01,,MOGI DAS CRUZES
JOSE00900,Córrego São José,Ponte ao lado do Parque Linear São José. na R. Frederico René De Jaegher. G03- Mananciais.,2020-01-01,,SÃO PAULO
JPEP03150,Rio Jacaré-Pepira,"Ponte na Rua Francisco Costa, em Brotas. Cerca de 1,5 km a jusante da régua do DAEE 5D-028.",2014-01-01,,BROTAS
JPEP03500,Rio Jacaré-Pepira,"Ponte na rodovia SP-255, no trecho que liga Jaú a Boa Esperança do Sul.",1979-01-03,,DOURADO
JPEP03600,Rio Jacaré-Pepira,"PONTE SOBRE O RIO JACARÉ-PEPIRA, A JUSANTE DO RIBEIRÃO DA BOCAINA",2010-01-01,,BOCAINA
JQJU00900,Reservatório do Juqueri ou Paiva Castro,"Ponte Santa Inês, na rodovia que liga Mairiporã à Franco da Rocha",1977-01-01,,MAIRIPORA
JQRI03300,Rio Juqueri,Ponte na entrada da portaria 2 do Parque Estadual do Juquery.,2013-01-01,,FRANCO DA ROCHA
JQRI03800,Rio Juqueri,"Ponte dentro da Empresa Natura, ao lado da Rod. Anhanguera, Km 31",1974-01-01,,CAJAMAR
JUDA02300,Córrego Judas,"No Parque Severo Gomes, na área fechada ao público.",2020-01-01,,SÃO PAULO
JUMI00100,Ribeirão Jundiaí-Mirim,"No bairro Pitangal, em Jarinu.",2002-01-01,,JARINU
JUMI00250,Ribeirão Jundiaí-Mirim,"Ponte na Estrada Jundiaí/Jarinu, em frente ao Condomínio Campo Verde.",2002-01-01,,JUNDIAÍ
JUMI00500,Ribeirão Jundiaí-Mirim,Ponte a jusante da Cereser.,2002-01-01,,JUNDIAÍ
JUMI00800,Ribeirão Jundiaí-Mirim,Na captação de Jundiaí.,2002-01-01,,JUNDIAÍ
JUNA02010,Rio Jundiaí - UGRHI 05,Na captação de Campo Limpo Paulista.,2000-01-01,,CAMPO LIMPO PAULISTA
JUNA02020,Rio Jundiaí - UGRHI 05,"Ponte na Av. Aderbal da Costa Madeira, 50m a jusante do lançamento da Krupp,(Ind. Siderúrgica).",1977-01-01,,CAMPO LIMPO PAULISTA
JUNA02100,Rio Jundiaí - UGRHI 05,"Passarela na Av. Marginal do Rio Jundiaí (Rod. SP-332), altura do núm. 3100.",2000-01-01,,VÁRZEA PAULISTA
JUNA03150,Rio Jundiaí - UGRHI 05,"Na Ponte da Av. Antônio Frederico Ozanan, alt. da Rua Angelo Corradini.",2000-01-01,,JUNDIAÍ
JUNA03190,Rio Jundiaí - UGRHI 05,"Ponte de acesso à Akzo Nobel, em Itupeva.",2002-01-01,,ITUPEVA
JUNA03200,Rio Jundiaí - UGRHI 05,"Ponte sobre o Rio Jundiai, na estrada do Bairro Monte Serrat.",2000-01-01,,ITUPEVA
JUNA03270,Rio Jundiaí - UGRHI 05,"Na ponte de concreto, logo após a estrada de ferro, no distrito de Itaici, em Indaiatuba.",1974-01-01,,INDAIATUBA
JUNA03700,Rio Jundiaí - UGRHI 05,"Ponte no Jardim das Nações, em Salto.",2002-01-01,,SALTO
JUNA03900,Rio Jundiaí - UGRHI 05,"Ponte na Praça Álvaro Guião, próximo à foz com o Rio Tietê, na área urbana de Salto.",1992-01-01,,SALTO
JUNI03950,Rio Jundiaí - UGHRI 06,"Rio Jundiai, na estrada Velha Rio- SP, atual Av. Lourenço de Souza Franco, a montante da linha Férrea.",2014-12-01,,MOGI DAS CRUZES
JUQI00800,Rio Juquiá,"Ponte na rodovia BR-116, em Juquitiba.",1977-11-01,,JUQUITIBA
JUQI02900,Rio Juquiá,"Após a confluência com o Rio São Lourenço, no município de Juquiá.",2000-11-12,,JUQUIA
JURU02500,Reservatório Jurumirim,"Ponte na rodovia SP-255, no trecho que liga Avaré a Itaí.",2001-05-05,,AVARÉ
JUZI02400,Rio Jundiaizinho,"PONTE NA ESTR.MUN. JOSÉ CINTRA, NO BAIRRO PORTÃO.",2010-01-01,,ATIBAIA
JUÇA04900,Córrego do Pirajussara,Ponte na entrada da USP,2012-01-01,,SÃO PAULO
KAIU02950,Ribeirão CAIUÁ - UGRHI 22,"Na ponte na vicinal SPV-71, próximo à Delegacia fluvial de Pres. Epitácio.",2018-01-01,,PRESIDENTE EPITACIO
KERA04990,Ribeirão Itaquera,A CERCA DE 70 M DA SUA FOZ NO RIO TIETE,2009-01-01,,SÃO PAULO
KERI02900,Ribeirão Itaqueri,500 m à jusante da confluencia com o Rib. Água Branca.,2018-01-01,,ITIRAPINA
KNOA02500,Rio Canoas,"Na captação da SABESP de Franca no Rio Canoas, na divisa de SP/MG.",2018-01-01,,FRANCA
KUJA04350,Córrego das Corujas,Ponte na Av. das Corujas X Rua Juranda.,2020-01-01,,SÃO PAULO
LAGE02500,Ribeirão Lageado,"Rua Altino Vaz de Melo, na captação do município de Penápolis.",2001-01-01,,PENAPOLIS
LAPE04850,Ribeirão Lavapés - UGRHI 5,"Ponte na Rua Antonio Sabella, cerca de 1 km da Foz com o Rio Jaguari.",2017-01-01,,BRAGANCA PAULISTA
LAPE04900,Ribeirão Lavapés - UGRHI 5,Na Foz com o Rio Jaguari.,2004-01-01,2016-12-31,BRAGANCA PAULISTA
LARO02500,Rio Claro - UGRHI 05,"NA CAPTAÇÃO ETA I-RIO CLARO, PROXIMO DO HORTO FLORESTAL",2010-01-01,,RIO CLARO
LARO02900,Rio Claro - UGRHI 05,"Na ponte próxima à foz, no Rio Corumbataí, no distrito de Assistência",2005-01-01,,RIO CLARO
LAVP03055,Ribeirão Lavapés - UGHRI 10,A jusante da confluência com o Córrego Tijuco Preto.,2017-01-01,,BOTUCATU
LCLI02500,Lago da Aclimação,"Lago da Aclimação, no meio do corpo central.",2021-04-01,,SÃO PAULO
